genre,title,price,discount,bonus,cover,year,publisher,rating,reviews,stock
Романы,Романы Анны Джейн в кинообложках. Твое сердце будет разбито,3 372 ₸,-25%,+34,твердый переплет,2025,Clever,5.0,5 отзывов,На складе
Романы,Наша вина,5 242 ₸,No discount,+52,твердый переплет,2023,АСТ,4.9,48 отзывов,На складе
Романы,Все в его поцелуе,4 060 ₸,No discount,+41,твердый переплет,2023,АСТ,4.9,16 отзывов,На складе
Романы,Граф Монте-Кристо.  Книга 2,2 133 ₸,No discount,+21,твердый переплет,2021,АСТ,5.0,30 отзывов,На складе
Романы,На пути к свадьбе,4 060 ₸,No discount,+41,твердый переплет,2023,АСТ,5.0,24 отзыва,На складе
Романы,Грозовой перевал,1 845 ₸,-20%,+18,мягкая обложка,0,Азбука - классика,4.9,27 отзывов,На складе
Романы,Доводы рассудка,1 696 ₸,No discount,+17,мягкая обложка,2019,АСТ,4.7,82 отзыва,На складе
Романы,Твоё сердце будет разбито,3 611 ₸,-20%,+36,твердый переплет,2022,Clever,4.9,114 отзывов,На складе
Романы,Кухарка из Кастамара,5 584 ₸,-35%,+56,твердая обложка,2025,Дом историй,5.0,3 отзыва,На складе
Романы,Всё из-за тебя,3 653 ₸,-20%,+37,твердый переплет,2023,Like Book,4.9,37 отзывов,На складе
Романы,Три мушкетера,2 069 ₸,No discount,+21,мягкая обложка,2022,АСТ,4.6,8 отзывов,На складе
Боевики,Происхождение,3 175 ₸,No discount,+32,мягкая обложка,2023,АСТ,5.0,14 отзывов,На складе
Боевики,Трагедия в трех актах,2 198 ₸,-20%,+22,мягкая обложка,2022,Эксмо,4.9,25 отзывов,На складе
Боевики,Пятьдесят на пятьдесят,4 338 ₸,-20%,+43,твердый переплет,2025,Inspiria,5.0,2 отзыва,На складе
Боевики,Труп в библиотеке,2 748 ₸,No discount,+27,мягкая обложка,2019,Эксмо,4.8,193 отзыва,На складе
Боевики,Зло под солнцем,2 198 ₸,-20%,+22,мягкая обложка,2022,Эксмо,4.9,35 отзывов,На складе
